id,description,activity_id
7,- Négocie fermement et de manière stratégique pour obtenir le paiement en temps opportun.,15
8,- Identifie l'équipe projet à partir de la liste des ingénieurs pour assurer une coordination efficace.,5
9,- Pré-sélectionne et choisit les fournisseurs en fonction de leur cotation dans la base fournisseurs pour garantir la qualité des services.,5
10,- Compare les produits existants en se basant sur les résultats de tests précédemment enregistrés.,9
11,- Établit une feuille de prix en se basant sur une base de prix pour assurer une évaluation précise et équitable.,7
12,- Met à jour la comptabilité client et envoie la facture pour maintenir une communication efficace et une gestion financière précise.,13
13,- Synthétise et compare les mesures obtenues pour garantir la qualité et la conformité des produits ou services.,11
14,- Comparer les différentes options et contraintes techniques à l'aide d'une feuille de comparaison pour identifier la meilleure solution possible.,3
20,Assimiler la demande et les objections du client pour mieux comprendre ses besoins et attentes lors de la négociation de l'offre.,8
21,Publier les pages modifiées après avoir effectué un contrôle de l\'historique et vérifié les pings.,1
22,Analyser précisément la demande du client en utilisant les outils de catalogue et de check-list.,2
