id,habilete,niveau,justification,activity_id
51,Traitement de l’information,3,,7
52,Raisonnement logique,2,,7
53,Adaptation relationnelle,4,,7
72,Planification,3,La rigueur nécessite également une bonne planification pour s'assurer que toutes les tâches sont réalisées en temps et en heure.,9
73,Auto-mobilisation,2,L'esprit d'initiative nécessite une certaine auto-mobilisation pour prendre des actions de manière proactive.,9
74,Auto-organisation,3,La rigueur implique une bonne organisation personnelle pour gérer les tâches de manière efficace et précise.,9
75,Arbitrage,2,"L'esprit d'initiative peut également impliquer de faire des choix et des décisions, ce qui nécessite des compétences en arbitrage.",9
76,Raisonnement logique,2,La rigueur et l'esprit d'initiative nécessitent tous deux un raisonnement logique pour résoudre les problèmes et prendre des décisions.,9
77,Auto-organisation,3,"Un niveau élevé d'auto-organisation est nécessaire pour préparer les conditions de test, exécuter les mesures demandées et établir les relevés de mesure de manière efficace et ordonnée.",11
78,Flexibilité mentale,2,La flexibilité mentale peut être utile pour s'adapter à différentes situations de test et pour traiter des données variables. Un niveau intermédiaire est suffisant pour cette activité.,11
79,Synthèse,4,"La capacité de synthétiser les informations est essentielle pour cette activité, en particulier lors de la réalisation de la synthèse comparative des mesures. Un niveau d'excellence est donc recommandé.",11
80,Raisonnement logique,3,La tâche d'établir les relevés de mesure et de faire la synthèse comparative des mesures nécessite un bon niveau de raisonnement logique pour analyser et interpréter correctement les données.,11
81,Auto-régulation jeunesse,1 (aptitude),L'autorité nécessite une auto-régulation pour maintenir un équilibre entre l'assertivité et la sensibilité aux besoins des autres.,11
82,Arbitrage,2,L'autorité nécessite des compétences en arbitrage pour prendre des décisions équilibrées et justes.,11
83,Sensibilité sociale,1,L'autorité nécessite une certaine sensibilité sociale pour comprendre et répondre aux besoins et aux attentes des autres.,11
84,Planification,2,La rigueur nécessite une bonne planification pour s'assurer que les tâches sont réalisées de manière ordonnée et dans les délais.,11
90,Sensibilité sociale,4,"L'humour nécessite une compréhension profonde des sentiments, des réactions et des perspectives des autres. Il faut être capable de percevoir ce qui peut faire rire les autres et de s'adapter à différents publics.",13
91,Auto-évaluation,2,L'utilisation de l'humour nécessite une certaine auto-évaluation pour comprendre quand et comment l'utiliser de manière appropriée. Il faut être capable de juger si une blague ou une remarque humoristique sera bien reçue ou non.,13
92,Flexibilité mentale,3,L'humour nécessite souvent de penser de manière créative et de faire des liens inattendus. Une flexibilité mentale élevée permet de créer des blagues et des jeux de mots originaux.,13
93,Auto-régulation,2,L'humour nécessite une auto-régulation pour éviter de faire des blagues inappropriées ou offensantes. Il faut être capable de contrôler ses impulsions et de réfléchir avant de parler.,13
94,Adaptation relationnelle,3,"L'humour peut être un outil puissant pour établir des relations, mais il nécessite une capacité d'adaptation pour être utilisé efficacement. Il faut être capable de moduler son humour en fonction de la situation et des personnes présentes.",13
95,Auto-organisation,3,"La tâche nécessite une bonne organisation pour gérer efficacement les bons de commande, la facturation et la mise à jour de la comptabilité client. Un niveau de maîtrise est donc nécessaire.",13
96,Traitement de l’information,2,"La tâche implique de traiter des informations provenant de différentes sources (bon de commande, facture, base fournisseurs). Un niveau d'acquisition est suffisant car bien que le traitement de l'information soit nécessaire, il ne s'agit pas de l'aspect le plus complexe de la tâche.",13
97,Raisonnement logique,3,"La tâche implique de rapprocher le bon de commande de la facture et de vérifier le fournisseur, ce qui nécessite un raisonnement logique pour identifier les erreurs ou les incohérences. Un niveau de maîtrise est donc approprié.",13
103,Auto-organisation,3 (maîtrise),"Cette habileté est nécessaire pour la réalisation des offres. Elle permet d'organiser les tâches (T1, T2, T3, T4) de manière efficace pour respecter la performance P1 (J + 10 maximum).",4
104,Planification,3 (maîtrise),"La planification est cruciale pour organiser les tâches (T1, T2, T3, T4) et respecter la performance P1 (J + 10 maximum).",4
105,Synthèse,2 (acquisition),Cette habileté est nécessaire pour la tâche T2 (Rédaction de l'offre). Elle permet de résumer les informations collectées de manière concise et précise.,4
106,Traitement de l’information,2 (acquisition),Cette habileté est essentielle pour la tâche T1 (Collecter les informations nécessaires). Elle permet de trier et d'analyser les informations pertinentes pour la rédaction de l'offre.,4
107,Flexibilité mentale,1 (initiation),"Cette habileté est utile pour la tâche T3 (Mise en forme de l'offre). Elle permet d'adapter l'offre en fonction des retours et des modifications éventuelles, contribuant ainsi à la performance P2 (Etat à jour des offres).",4
