id,name,onboarding_plan
1,manager,
2,Relation client,"**1) Module de formation/entrainement**

*Formation ""Traitement de l'information et Raisonnement logique""*

- Objectifs : Améliorer la capacité à traiter l'information de manière efficace et à utiliser le raisonnement logique dans la prise de décision.
- Durée : 1 jour
- Méthode : Formation interactive avec des exercices pratiques, des études de cas et des jeux de rôle pour simuler des situations réelles.
- Critères d'évaluation : Capacité à identifier, analyser et synthétiser l'information pertinente dans un exercice de simulation. Capacité à appliquer le raisonnement logique pour résoudre des problèmes lors d'un test post-formation.

*Formation ""Sensibilité sociale, Planification et Auto-régulation""*

- Objectifs : Développer la sensibilité sociale pour comprendre et répondre aux besoins des autres, améliorer les compétences en planification et en auto-régulation.
- Durée : 2 jours
- Méthode : Formation en groupe avec des activités de team building, des ateliers de planification de projet et des sessions de mindfulness pour l'auto-régulation.
- Critères d'évaluation : Capacité à identifier et répondre aux besoins des autres lors d'un jeu de rôle. Efficacité de la planification et de l'auto-régulation lors d'un projet simulé.

**2) Retour d’Expérience (REX)**

Une session de REX pourrait comprendre une discussion en groupe où chaque membre partage des expériences liées aux HSC. Par exemple, un membre pourrait partager comment il a utilisé le raisonnement logique pour résoudre un problème complexe. L'animateur de la session peut ensuite guider le groupe à analyser cette situation, discuter des stratégies utilisées et comment elles pourraient être améliorées ou appliquées dans d'autres contextes.

**3) Coaching d’Équipe**

Pour le coaching d'équipe, il est important de créer un environnement de soutien où les membres se sentent à l'aise pour partager leurs idées et leurs préoccupations. Encouragez la coopération en assignant des tâches qui nécessitent un travail d'équipe et en reconnaissant les contributions de chaque membre. Pour l'auto-organisation, formez les membres sur les outils de gestion de projet et encouragez-les à prendre des initiatives. Enfin, pour l'adaptation, promouvez une culture de l'apprentissage continu et encouragez les membres à être flexibles face aux changements.

**4) Parcours d’Apprentissage Autonome**

Un parcours d'apprentissage autonome pourrait inclure des micro-formations en ligne sur chaque HSC. Par exemple, un cours sur le raisonnement logique pourrait comprendre des vidéos explicatives, des lectures, des exercices pratiques et des quiz pour évaluer la compréhension. Pour la sensibilité sociale, les apprenants pourraient regarder des vidéos de scénarios sociaux et répondre à des questions sur la manière dont ils réagiraient. Pour la planification et l'auto-régulation, ils pourraient utiliser des outils en ligne pour planifier un projet fictif et suivre leur progression."
3,Coordination projet,"Plan d'accompagnement pour le développement des habiletés sociocognitives (HSC) pour le rôle ""Coordination projet""

1) Plan de développement des HSC

a) Module ""Gestion de projet et Auto-organisation"" - HSC visée: Auto-organisation (Niveau: 3)
Objectifs : Renforcer la capacité à organiser son travail de manière autonome, à définir ses priorités et à gérer son temps efficacement.
Durée : 2 jours
Méthode : Ateliers pratiques sur la gestion du temps et des priorités, exercices de simulation de projets.
Développement des HSC : Les participants sont amenés à organiser leur travail et à gérer leur temps dans le cadre de simulations de projets, ce qui leur permet de développer leur auto-organisation.

b) Module ""Planification stratégique"" - HSC visée: Planification (Niveau: 3)
Objectifs : Améliorer les compétences en matière de planification de projets, de définition d'objectifs et de mise en œuvre de plans d'action.
Durée : 2 jours
Méthode : Études de cas, jeux de rôle sur la planification de projets.
Développement des HSC : Les participants sont amenés à planifier des projets de A à Z, ce qui leur permet de développer leur compétence en matière de planification.

2) Retour d’Expérience (REX)

a) Module ""Analyse et traitement de l'information"" - HSC visée: Traitement de l’information (Niveau: 2)
Objectifs : Renforcer la capacité à analyser et à traiter l'information de manière efficace.
Durée : 1 jour
Méthode : Ateliers de partage d'expériences, analyse de cas réels.
Développement des HSC : Les participants sont amenés à analyser des situations réelles et à traiter l'information, ce qui leur permet de développer leur compétence en matière de traitement de l'information.

b) Module ""Arbitrage et prise de décision"" - HSC visée: Arbitrage (Niveau: 2)
Objectifs : Améliorer les compétences en matière d'arbitrage et de prise de décision.
Durée : 1 jour
Méthode : Jeux de rôle, études de cas.
Développement des HSC : Les participants sont amenés à prendre des décisions dans des situations simulées, ce qui leur permet de développer leur compétence en matière d'arbitrage.

3) Coaching d’Équipe

a) Module ""Adaptation relationnelle et travail en équipe"" - HSC visée: Adaptation relationnelle (Niveau: 2)
Objectifs : Améliorer les compétences en matière de travail en équipe et d'adaptation relationnelle.
Durée : 2 jours
Méthode : Jeux de rôle, exercices de team building.
Développement des HSC : Les participants sont amenés à travailler en équipe et à s'adapter à différentes personnalités, ce qui leur permet de développer leur compétence en matière d'adaptation relationnelle.

4) Parcours d’Apprentissage Autonome

a) Module ""Conceptualisation et pensée critique"" - HSC visée: Conceptualisation (Niveau: 4)
Objectifs : Renforcer la capacité à conceptualiser des idées et à penser de manière critique.
Durée : Auto-apprentissage à son rythme
Méthode : Cours en ligne, lectures recommandées, exercices pratiques.
Développement des HSC : Les participants sont amenés à conceptualiser des idées et à penser de manière critique à travers des exercices pratiques et des lectures, ce qui leur permet de développer leur compétence en matière de conceptualisation.

b) Module ""Flexibilité mentale et résolution de problèmes"" - HSC visée: Flexibilité mentale (Niveau: 2)
Objectifs : Améliorer la flexibilité mentale et la capacité à résoudre des problèmes.
Durée : Auto-apprentissage à son rythme
Méthode : Cours en ligne, lectures recommandées, exercices pratiques.
Développement des HSC : Les participants sont amenés à résoudre des problèmes et à faire preuve de flexibilité mentale à travers des exercices pratiques et des lectures, ce qui leur permet de développer leur compétence en matière de flexibilité mentale.

c) Module ""Approche globale et vision stratégique"" - HSC visée: Approche globale (Niveau: 4)
Objectifs : Renforcer la capacité à avoir une vision globale et à penser de manière stratégique.
Durée : Auto-apprentissage à son rythme
Méthode : Cours en ligne, lectures recommandées, exercices pratiques.
Développement des HSC : Les participants sont amenés à avoir une vision globale et à penser de manière stratégique à travers des exercices pratiques et des lectures, ce qui leur permet de développer leur compétence en matière d'approche globale."
4,Coster,"Plan d'accompagnement pour le développement des habiletés sociocognitives (HSC) du rôle ""Coster""

Partie I: Plan de développement des HSC

Module 1: Auto-organisation - Niveau: 3
Objectifs: Améliorer la capacité à planifier, prioriser et gérer efficacement le temps et les ressources.
Durée: 2 jours
Méthode: Ateliers pratiques sur la gestion du temps et des ressources, exercices de planification de projets.
Développement des HSC: Les participants apprendront à s'organiser de manière autonome, en définissant des priorités et en gérant efficacement leur temps et leurs ressources.

Module 2: Arbitrage - Niveau: 3
Objectifs: Développer la capacité à prendre des décisions équilibrées et justes.
Durée: 2 jours
Méthode: Jeux de rôle sur des situations de prise de décision, discussions de groupe sur des études de cas.
Développement des HSC: Les participants développeront leur capacité à arbitrer entre différentes options et à prendre des décisions équilibrées.

Partie II: Retour d’Expérience (REX)

Module 3: Traitement de l’information - Niveau: 3
Objectifs: Améliorer la capacité à collecter, analyser et utiliser efficacement l'information.
Durée: 2 jours
Méthode: Exercices pratiques sur la collecte et l'analyse d'informations, études de cas sur l'utilisation de l'information pour la prise de décision.
Développement des HSC: Les participants apprendront à traiter efficacement l'information, en la collectant, en l'analysant et en l'utilisant pour prendre des décisions éclairées.

Partie III: Coaching d’Équipe

Module 4: Raisonnement logique - Niveau: 2
Objectifs: Développer la capacité à résoudre des problèmes et à prendre des décisions basées sur la logique.
Durée: 2 jours
Méthode: Exercices de résolution de problèmes, discussions de groupe sur des études de cas.
Développement des HSC: Les participants développeront leur capacité à utiliser le raisonnement logique pour résoudre des problèmes et prendre des décisions.

Partie IV: Parcours d’Apprentissage Autonome

Module 5: Adaptation relationnelle - Niveau: 4
Objectifs: Améliorer la capacité à interagir efficacement avec les autres et à s'adapter à différentes situations sociales.
Durée: 3 jours
Méthode: Jeux de rôle sur des situations sociales variées, feedback et coaching individuel.
Développement des HSC: Les participants développeront leur capacité à s'adapter à différentes situations sociales et à interagir efficacement avec les autres.

Ce plan d'accompagnement vise à développer les HSC nécessaires pour le rôle de ""Coster"", en offrant une formation et un accompagnement ciblés sur les compétences clés nécessaires pour ce rôle."
5,Controle produit,
6,Qualité,
7,Administration,
8,Suivi des mesure qualité,"Plan d'accompagnement pour le développement des habiletés sociocognitives (HSC) :

I. Plan de développement des HSC

Module 1 : Auto-évaluation - Niveau: 1
Objectif : Améliorer la capacité à évaluer ses propres performances et à identifier ses points forts et faiblesses.
Durée : 1 jour
Méthode : Exercices pratiques d'auto-évaluation, feedback de pairs et de formateurs.
Développement des HSC : L'apprenant améliore son auto-évaluation en identifiant ses points forts et faiblesses et en définissant des stratégies pour améliorer ses performances.

Module 2 : Auto-organisation - Niveau: 4
Objectif : Développer des compétences avancées en gestion du temps et en organisation personnelle.
Durée : 2 jours
Méthode : Ateliers pratiques sur la gestion du temps, l'organisation personnelle et la définition des priorités.
Développement des HSC : L'apprenant renforce son auto-organisation en développant des compétences en gestion du temps et en organisation personnelle.

II. Retour d’Expérience (REX)

Module 3 : Raisonnement logique - Niveau: 2
Objectif : Améliorer la capacité à résoudre des problèmes et à prendre des décisions basées sur la logique et les faits.
Durée : 2 jours
Méthode : Études de cas, exercices de résolution de problèmes et jeux de rôle.
Développement des HSC : L'apprenant améliore son raisonnement logique en résolvant des problèmes et en prenant des décisions basées sur la logique et les faits.

III. Coaching d’Équipe

Module 4 : Planification - Niveau: 3
Objectif : Développer des compétences en planification et en gestion de projet.
Durée : 3 jours
Méthode : Ateliers de planification de projet, jeux de rôle et feedback de pairs et de formateurs.
Développement des HSC : L'apprenant renforce sa planification en développant des compétences en planification et en gestion de projet.

IV. Parcours d’Apprentissage Autonome

Module 5 : Arbitrage - Niveau: 2
Objectif : Améliorer la capacité à arbitrer entre différentes options et à prendre des décisions.
Durée : 2 jours
Méthode : Jeux de rôle, études de cas et exercices de prise de décision.
Développement des HSC : L'apprenant améliore son arbitrage en prenant des décisions basées sur l'analyse des options disponibles.

Ce plan d'accompagnement vise à développer les HSC nécessaires pour le rôle de ""Suivi des mesure qualité"". Chaque module est conçu pour développer une ou plusieurs HSC spécifiques, en utilisant des méthodes pédagogiques appropriées et en offrant des opportunités pour la pratique et le feedback."
9,Facturière,"Plan d'accompagnement pour le développement des habiletés sociocognitives (HSC) pour le poste de Facturière

I. Plan de développement des HSC

Module 1: Auto-régulation - Niveau: 3
Objectifs: Améliorer la capacité à contrôler ses émotions et comportements en situation de travail, à gérer le stress et à maintenir la motivation.
Durée: 4 semaines
Méthode: Ateliers de gestion du stress, exercices de pleine conscience et de méditation, coaching individuel.
Lien avec les HSC: Ce module vise directement à développer l'auto-régulation, une compétence essentielle pour gérer les situations stressantes et maintenir la performance au travail.

Module 2: Traitement de l’information - Niveau: 2
Objectifs: Améliorer la capacité à analyser et synthétiser l'information, à prendre des décisions basées sur l'information disponible.
Durée: 3 semaines
Méthode: Exercices pratiques d'analyse de données, jeux de rôle pour la prise de décision, coaching individuel.
Lien avec les HSC: Ce module vise à développer le traitement de l'information, une compétence clé pour analyser et utiliser efficacement l'information dans le travail de facturation.

II. Retour d’Expérience (REX)

Objectifs: Partager les expériences et les leçons apprises, promouvoir l'apprentissage continu.
Durée: 1 journée par mois
Méthode: Réunions d'équipe pour partager les expériences, échanges de bonnes pratiques.
Lien avec les HSC: Le REX favorise le développement de toutes les HSC en permettant aux participants de réfléchir sur leurs expériences, d'apprendre des autres et d'améliorer leurs compétences.

III. Coaching d’Équipe

Objectifs: Renforcer la cohésion d'équipe, améliorer la communication et la collaboration.
Durée: 2 heures par semaine
Méthode: Ateliers de team building, coaching de groupe.
Lien avec les HSC: Le coaching d'équipe contribue au développement de l'auto-régulation et de l'auto-organisation en améliorant la capacité à travailler en équipe et à gérer les relations interpersonnelles.

IV. Parcours d’Apprentissage Autonome

Module 1: Auto-organisation - Niveau: 3
Objectifs: Améliorer la capacité à planifier et à organiser son travail de manière autonome.
Durée: 4 semaines
Méthode: Exercices pratiques de planification, coaching individuel.
Lien avec les HSC: Ce module vise directement à développer l'auto-organisation, une compétence clé pour gérer efficacement son temps et ses tâches.

Module 2: Raisonnement logique - Niveau: 2
Objectifs: Améliorer la capacité à résoudre des problèmes et à prendre des décisions de manière logique et structurée.
Durée: 3 semaines
Méthode: Jeux de rôle pour la résolution de problèmes, exercices de logique, coaching individuel.
Lien avec les HSC: Ce module vise à développer le raisonnement logique, une compétence essentielle pour résoudre les problèmes et prendre des décisions efficaces.

Module 3: Planification - Niveau: 2
Objectifs: Améliorer la capacité à planifier et à prioriser les tâches.
Durée: 3 semaines
Méthode: Exercices pratiques de planification, coaching individuel.
Lien avec les HSC: Ce module vise à développer la planification, une compétence clé pour organiser son travail et atteindre ses objectifs."
10,Site dessinateur,
